                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.79607,                0.64295,                  0.767,                 1.1254,                0.50084,                   0.03,                 0.0274,                0.02245,                0.81851,                   0.02,                0.01689,                0.00904,                    nan,                0.54856,                    nan,                    nan,              0.0017307,              0.0017307,              0.0017307
                     71,                0.78136,                0.64287,                0.76388,                 1.1144,                0.67727,                   0.03,                0.02774,                0.02119,                0.67727,                   0.03,                0.02776,                0.00979,                    nan,                0.47499,                    nan,                    nan,              0.0017268,              0.0017268,              0.0017268
                     72,                0.75319,                0.69051,                0.73693,                 1.0915,                 0.0616,                   0.03,                0.01303,                0.00946,                 0.0599,                   0.03,                0.01679,                 0.0079,                    nan,                0.29681,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     73,                0.78096,                0.57603,                0.72218,                 1.1117,                0.40715,                   0.03,                0.02388,                0.01777,                0.77835,                   0.02,                0.01621,                0.00505,                    nan,                0.58534,                    nan,                    nan,              0.0017188,              0.0017188,              0.0017188
                     74,                0.77854,                0.64702,                0.76281,                 1.1291,                0.89993,                   0.03,                0.02726,                0.02257,                0.95019,                   0.02,                0.01836,                0.00921,                    nan,                 0.4302,                    nan,                    nan,              0.0017149,              0.0017149,              0.0017149
                     75,                0.83142,                0.67825,                0.81104,                  1.157,                0.14991,                   0.03,                0.01513,                0.01041,                0.74999,                   0.02,                0.01642,                0.00621,                    nan,                 0.5139,                    nan,                    nan,              0.0017109,              0.0017109,              0.0017109
                     76,                0.74676,                0.61558,                0.74769,                 1.0939,                0.95085,                   0.03,                0.03998,                0.02602,                0.95085,                   0.03,                0.04284,                0.01962,                    nan,                0.28792,                    nan,                    nan,               0.001707,               0.001707,               0.001707
                     77,                0.74987,                0.63915,                 0.7071,                 1.1026,                0.34864,                   0.03,                0.02322,                0.01944,                0.34864,                   0.03,                0.02323,                0.01035,                    nan,                0.37122,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                     78,                0.76654,                0.55096,                0.73743,                 1.1038,                0.58733,                   0.03,                  0.031,                0.02377,                0.58733,                   0.03,                0.03699,                0.01902,                    nan,                0.25106,                    nan,                    nan,               0.001699,               0.001699,               0.001699
                     79,                0.77465,                0.56332,                0.71769,                 1.1293,                0.11541,                   0.03,                 0.0185,                0.01713,                0.93593,                   0.02,                0.01616,                0.00931,                    nan,                0.58268,                    nan,                    nan,              0.0016951,              0.0016951,              0.0016951
                     80,                0.78481,                0.63151,                0.78354,                 1.1268,                0.49789,                   0.03,                0.02913,                0.02344,                0.49789,                   0.03,                0.03079,                0.01408,                    nan,                 0.4307,                    nan,                    nan,              0.0016911,              0.0016911,              0.0016911
                     81,                0.73116,                0.57672,                0.65759,                  1.088,                0.95482,                   0.02,                 0.0182,                0.01622,                0.95482,                   0.02,                0.01641,                0.00878,                    nan,                0.38366,                    nan,                    nan,              0.0016872,              0.0016872,              0.0016872
                     82,                0.77167,                0.62357,                0.73809,                 1.1336,                0.88741,                   0.02,                0.01733,                0.01417,                0.88741,                   0.02,                0.01812,                0.01047,                    nan,                0.25603,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     83,                0.77015,                0.63677,                0.77349,                 1.1015,                 0.3664,                   0.03,                0.02307,                 0.0184,                 0.3664,                   0.03,                0.02453,                0.01072,                    nan,                0.27219,                    nan,                    nan,              0.0016792,              0.0016792,              0.0016792
                     84,                0.77476,                0.56845,                0.71294,                 1.1239,                0.95188,                   0.02,                0.01658,                0.01439,                0.95188,                   0.02,                0.01588,                0.00881,                    nan,                0.41519,                    nan,                    nan,              0.0016753,              0.0016753,              0.0016753
                     85,                0.74785,                0.53448,                0.70437,                 1.0884,                0.94073,                   0.03,                0.02802,                0.02191,                0.94073,                   0.03,                0.02717,                0.00846,                    nan,                0.37598,                    nan,                    nan,              0.0016713,              0.0016713,              0.0016713
                     86,                0.72321,                0.66559,                0.72077,                 1.0648,                0.46248,                   0.03,                0.02402,                0.01852,                0.46248,                   0.03,                0.02636,                0.01233,                    nan,                0.29022,                    nan,                    nan,              0.0016674,              0.0016674,              0.0016674
                     87,                0.72211,                0.58731,                0.70259,                 1.0788,                0.32555,                   0.03,                0.02142,                0.01848,                0.94339,                   0.02,                 0.0157,                0.00971,                    nan,                0.43258,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                     88,                0.74542,                0.61789,                0.72104,                  1.096,                0.34386,                   0.03,                0.02413,                0.02068,                0.34386,                   0.03,                0.02478,                0.00939,                    nan,                0.32882,                    nan,                    nan,              0.0016594,              0.0016594,              0.0016594
                     89,                0.67493,                0.54661,                0.66569,                 1.0593,                0.12158,                   0.03,                0.01872,                0.01661,                0.12158,                   0.03,                0.01945,                0.01209,                    nan,                0.30948,                    nan,                    nan,              0.0016555,              0.0016555,              0.0016555
                     90,                 0.7379,                0.53627,                0.65728,                 1.0964,                0.23859,                   0.03,                0.02194,                0.01897,                0.23859,                   0.03,                0.02194,                  0.011,                    nan,                0.35473,                    nan,                    nan,              0.0016515,              0.0016515,              0.0016515
                     91,                0.71777,                0.57065,                0.68269,                 1.0846,                0.69513,                   0.03,                0.03834,                0.02814,                0.47467,                   0.04,                 0.0476,                0.01698,                    nan,                  0.532,                    nan,                    nan,              0.0016476,              0.0016476,              0.0016476
                     92,                0.74116,                0.58628,                 0.6819,                  1.108,                0.38749,                   0.03,                0.02412,                0.02154,                0.38749,                   0.03,                0.02796,                 0.0117,                    nan,                0.46486,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     93,                0.72437,                0.58753,                0.69811,                 1.0804,                0.91374,                   0.03,                0.02697,                0.02104,                0.97101,                   0.02,                 0.0157,                0.00714,                    nan,                0.40796,                    nan,                    nan,              0.0016396,              0.0016396,              0.0016396
