                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                  1.317,                 1.8423,                 1.3344,                 1.4794,                0.50468,                0.12903,                0.09919,                0.04563,                0.36168,                0.06452,                0.05563,                0.02366,                    nan,                 1.9863,                    nan,                    nan,              0.0018871,              0.0018871,              0.0018871
                     60,                 1.2503,                  1.811,                 1.3345,                 1.4405,                 0.6278,                0.12903,                0.11307,                0.07059,                0.66029,                0.06452,                0.06752,                0.02657,                    nan,                 1.9167,                    nan,                    nan,              0.0018852,              0.0018852,              0.0018852
                     61,                 1.3376,                 1.8945,                 1.3949,                 1.5134,                0.71222,                0.15989,                0.14314,                 0.0659,                0.90148,                0.06452,                0.06595,                0.02626,                    nan,                 2.1711,                    nan,                    nan,              0.0018832,              0.0018832,              0.0018832
                     62,                 1.2207,                 1.8484,                 1.2627,                 1.4104,                0.45106,                0.16129,                0.14354,                0.06553,                0.55209,                0.09677,                0.08806,                0.02896,                    nan,                 2.0657,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                     63,                  1.306,                 1.9753,                 1.3656,                 1.4872,                0.95658,                0.12903,                0.14137,                0.05562,                0.65617,                0.06452,                0.07254,                0.01276,                    nan,                 1.9814,                    nan,                    nan,              0.0018792,              0.0018792,              0.0018792
                     64,                 1.3583,                 1.9881,                 1.3205,                 1.5152,                0.33543,                0.12903,                0.09531,                0.04066,                0.78195,                0.09677,                0.09649,                 0.0153,                    nan,                 2.0309,                    nan,                    nan,              0.0018772,              0.0018772,              0.0018772
                     65,                 1.3109,                 1.8302,                 1.3026,                 1.5005,                0.39423,                0.12903,                0.07686,                0.02978,                0.45049,                0.06452,                 0.0344,                0.00443,                    nan,                 2.0872,                    nan,                    nan,              0.0018753,              0.0018753,              0.0018753
                     66,                 1.3503,                 1.8138,                 1.2679,                 1.4771,                0.44139,                0.12903,                0.08929,                0.01388,                0.10938,                0.06452,                0.01457,                0.00358,                    nan,                 2.1425,                    nan,                    nan,              0.0018733,              0.0018733,              0.0018733
                     67,                 1.3013,                 1.7883,                 1.3094,                 1.4777,                0.69074,                0.09677,                0.07362,                0.03747,                0.22509,                0.03226,                0.00921,                 0.0045,                    nan,                 2.0806,                    nan,                    nan,              0.0018713,              0.0018713,              0.0018713
                     68,                 1.4389,                 1.9448,                 1.3465,                 1.5394,                 0.7385,                0.12903,                0.10149,                0.04511,                0.34973,                0.06452,                0.02711,                0.00491,                    nan,                 1.9919,                    nan,                    nan,              0.0018693,              0.0018693,              0.0018693
                     69,                 1.3574,                 1.8536,                  1.429,                 1.5725,                0.70367,                0.16129,                0.14495,                0.04339,                0.42023,                0.09677,                0.06569,                0.00864,                    nan,                  1.753,                    nan,                    nan,              0.0018673,              0.0018673,              0.0018673
                     70,                 1.2215,                 1.9445,                 1.2518,                 1.4523,                 0.6362,                0.09677,                0.10263,                 0.0303,                0.39729,                0.06452,                 0.0669,                0.00881,                    nan,                 1.9843,                    nan,                    nan,              0.0018654,              0.0018654,              0.0018654
                     71,                 1.2858,                 1.7905,                 1.2515,                 1.4396,                0.80614,                0.16129,                0.15369,                  0.043,                0.56445,                0.09677,                0.09066,                0.01665,                    nan,                 1.9177,                    nan,                    nan,              0.0018634,              0.0018634,              0.0018634
                     72,                 1.1444,                 1.8154,                 1.1663,                 1.3766,                0.32704,                0.16129,                0.11076,                0.05949,                 0.6997,                0.09677,                0.08461,                0.02268,                    nan,                 1.8391,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                     73,                 1.2334,                 1.8764,                 1.3435,                 1.4759,                0.70091,                0.16129,                0.15645,                0.06583,                0.85273,                0.09677,                0.09572,                0.02343,                    nan,                 1.7668,                    nan,                    nan,              0.0018594,              0.0018594,              0.0018594
                     74,                 1.2245,                 1.9222,                  1.192,                 1.4279,                0.78632,                0.16129,                0.16057,                0.05491,                0.77519,                0.09677,                0.09565,                0.02228,                    nan,                 1.7552,                    nan,                    nan,              0.0018574,              0.0018574,              0.0018574
                     75,                 1.2108,                 1.7074,                 1.1802,                 1.4176,                0.71221,                0.16129,                 0.1609,                0.06814,                0.69251,                0.09677,                0.08916,                0.01974,                    nan,                 1.7591,                    nan,                    nan,              0.0018555,              0.0018555,              0.0018555
                     76,                 1.2733,                 1.7235,                 1.2436,                 1.5036,                0.74696,                0.12903,                0.11756,                0.03251,                0.47591,                0.06452,                0.05174,                0.01558,                    nan,                 1.8736,                    nan,                    nan,              0.0018535,              0.0018535,              0.0018535
                     77,                  1.245,                 1.9281,                 1.3043,                 1.4812,                0.65279,                0.12903,                0.12945,                 0.0493,                  0.437,                0.06452,                 0.0544,                0.01237,                    nan,                 1.9398,                    nan,                    nan,              0.0018515,              0.0018515,              0.0018515
                     78,                 1.2762,                 1.8191,                 1.2512,                 1.4913,                0.77425,                0.16129,                0.15863,                0.07196,                 0.4849,                0.09677,                0.07526,                0.02302,                    nan,                 1.9124,                    nan,                    nan,              0.0018495,              0.0018495,              0.0018495
                     79,                 1.2735,                  1.954,                 1.2488,                  1.418,                0.77059,                0.16129,                0.15691,                 0.0771,                0.50148,                0.09677,                0.08668,                0.02643,                    nan,                 2.0836,                    nan,                    nan,              0.0018475,              0.0018475,              0.0018475
                     80,                 1.1569,                 1.6331,                 1.3223,                 1.3963,                0.64147,                0.12903,                0.12956,                0.06972,                0.48021,                0.09677,                0.07599,                 0.0173,                    nan,                 2.1462,                    nan,                    nan,              0.0018456,              0.0018456,              0.0018456
                     81,                 1.2993,                 1.8966,                  1.335,                 1.5091,                0.54903,                0.16129,                0.14145,                0.06451,                0.23273,                0.09677,                0.05429,                0.01813,                    nan,                 1.9051,                    nan,                    nan,              0.0018436,              0.0018436,              0.0018436
                     82,                 1.1618,                 1.8155,                 1.1589,                 1.3635,                  0.662,                0.16129,                 0.1546,                0.06121,                0.38721,                0.09677,                 0.0747,                0.01876,                    nan,                  1.816,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     83,                 1.2394,                 1.8039,                 1.5642,                 1.4074,                0.72522,                0.16129,                0.15916,                0.05622,                0.49524,                0.09677,                0.08011,                0.02033,                    nan,                 1.7906,                    nan,                    nan,              0.0018396,              0.0018396,              0.0018396
                     84,                 1.2705,                 2.0317,                 1.2484,                  1.401,                0.55823,                0.12903,                0.09349,                0.04855,                0.32999,                0.06452,                0.05669,                0.01751,                    nan,                 1.7803,                    nan,                    nan,              0.0018376,              0.0018376,              0.0018376
                     85,                  1.215,                 1.7613,                 1.1785,                 1.4191,                0.43415,                0.16129,                0.11889,                0.05712,                0.23022,                0.09677,                0.06605,                0.02242,                    nan,                 1.9816,                    nan,                    nan,              0.0018357,              0.0018357,              0.0018357
                     86,                 1.2199,                 1.8667,                 1.2011,                  1.362,                0.69482,                0.16129,                0.15874,                0.08337,                0.86539,                0.09677,                0.10239,                 0.0274,                    nan,                 1.9303,                    nan,                    nan,              0.0018337,              0.0018337,              0.0018337
                     87,                 1.2494,                 1.9108,                 1.2215,                  1.417,                0.77517,                0.16129,                0.15793,                0.09903,                0.49289,                0.09677,                0.06746,                0.01817,                    nan,                 1.9919,                    nan,                    nan,              0.0018317,              0.0018317,              0.0018317
                     88,                 1.2156,                 1.8344,                 1.2283,                 1.4064,                0.53059,                0.16129,                0.15476,                0.06453,                0.26049,                0.09677,                0.04422,                0.01079,                    nan,                 2.1311,                    nan,                    nan,              0.0018297,              0.0018297,              0.0018297
                     89,                 1.1929,                 1.8096,                 1.2148,                 1.4055,                0.30254,                0.12903,                0.11051,                0.04425,                0.30582,                0.06452,                0.03775,                0.01019,                    nan,                 2.0077,                    nan,                    nan,              0.0018277,              0.0018277,              0.0018277
                     90,                 1.1527,                 1.7388,                 1.1665,                 1.3615,                0.69492,                0.09677,                 0.0815,                0.03986,                  0.328,                0.06452,                0.02828,                0.00688,                    nan,                 2.0295,                    nan,                    nan,              0.0018258,              0.0018258,              0.0018258
                     91,                  1.105,                 1.7438,                 1.2206,                 1.3323,                0.53754,                0.12903,                 0.0963,                0.04561,                0.54734,                0.09677,                0.08706,                0.01149,                    nan,                 2.0799,                    nan,                    nan,              0.0018238,              0.0018238,              0.0018238
                     92,                 1.2338,                 1.7347,                 1.2589,                 1.4399,                0.73983,                0.12903,                0.11255,                0.05425,                 0.5525,                0.09677,                 0.0854,                0.01179,                    nan,                 1.9792,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     93,                 1.1195,                 1.7763,                 1.0963,                 1.3227,                0.75992,                0.12903,                0.11868,                0.05549,                0.37814,                0.06452,                0.05276,                0.00857,                    nan,                 1.8542,                    nan,                    nan,              0.0018198,              0.0018198,              0.0018198
