                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.36993,                 0.4228,                0.35334,                0.84746,                0.99127,                0.98001,                0.99248,                0.95686,                0.99012,                0.97871,                 0.9921,                0.83992,                    nan,                 0.3937,                    nan,                    nan,              0.0093367,              0.0093367,              0.0093367
                     70,                0.36462,                0.41777,                0.35107,                0.84641,                0.99011,                0.97934,                0.99268,                0.95715,                0.98882,                0.97805,                0.99203,                0.84086,                    nan,                 0.3962,                    nan,                    nan,              0.0093268,              0.0093268,              0.0093268
                     71,                0.36244,                0.41432,                0.34588,                0.84684,                0.99197,                0.98062,                 0.9926,                0.95757,                0.98935,                0.97978,                0.99229,                 0.8413,                    nan,                0.40516,                    nan,                    nan,              0.0093169,              0.0093169,              0.0093169
                     72,                0.36361,                0.41567,                0.34623,                0.84757,                0.99048,                0.97909,                 0.9926,                0.95758,                0.98861,                 0.9763,                0.99247,                0.84795,                    nan,                0.39174,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     73,                0.36106,                0.41637,                0.34374,                0.84652,                0.99094,                0.98423,                 0.9926,                0.95877,                0.98967,                0.98292,                0.99226,                0.84553,                    nan,                0.39559,                    nan,                    nan,              0.0092971,              0.0092971,              0.0092971
                     74,                0.36449,                0.41282,                  0.349,                0.84745,                0.99027,                0.98081,                0.99304,                0.95818,                0.98984,                0.97906,                0.99218,                0.84488,                    nan,                0.39168,                    nan,                    nan,              0.0092872,              0.0092872,              0.0092872
                     75,                0.36161,                0.41592,                0.34292,                0.84532,                0.98993,                0.98413,                0.99273,                0.95973,                0.98786,                0.98181,                0.99196,                0.84411,                    nan,                0.39473,                    nan,                    nan,              0.0092773,              0.0092773,              0.0092773
                     76,                 0.3559,                0.41292,                0.34454,                0.84187,                0.99235,                 0.9811,                0.99336,                 0.9588,                0.99016,                0.97828,                0.99252,                0.84114,                    nan,                0.39001,                    nan,                    nan,              0.0092674,              0.0092674,              0.0092674
                     77,                0.35915,                0.41312,                0.34299,                0.84578,                0.99073,                0.98077,                0.99313,                0.95723,                0.98867,                0.97757,                0.99207,                0.83719,                    nan,                0.39736,                    nan,                    nan,              0.0092575,              0.0092575,              0.0092575
                     78,                0.35651,                0.41018,                0.34064,                0.84359,                0.98986,                0.98261,                0.99267,                0.95987,                0.98855,                0.98134,                0.99224,                0.84172,                    nan,                0.39213,                    nan,                    nan,              0.0092476,              0.0092476,              0.0092476
                     79,                0.36044,                0.41197,                0.34427,                 0.8429,                0.98916,                0.98217,                0.99319,                0.96013,                0.98918,                0.98124,                0.99332,                0.84258,                    nan,                0.38758,                    nan,                    nan,              0.0092377,              0.0092377,              0.0092377
                     80,                0.35334,                0.40858,                0.34029,                0.84214,                0.99057,                0.98305,                0.99319,                0.96192,                0.98904,                0.98092,                0.99272,                0.84673,                    nan,                0.38657,                    nan,                    nan,              0.0092278,              0.0092278,              0.0092278
                     81,                0.35798,                0.41109,                0.34356,                0.83984,                 0.9929,                0.98155,                0.99281,                0.96071,                0.99263,                0.98129,                0.99307,                0.84569,                    nan,                0.37723,                    nan,                    nan,              0.0092179,              0.0092179,              0.0092179
                     82,                0.35489,                0.41312,                0.34773,                 0.8401,                0.99154,                0.98176,                0.99288,                0.96046,                0.98706,                0.98043,                0.99187,                0.84334,                    nan,                0.38575,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     83,                0.35498,                0.41402,                0.33734,                0.83943,                 0.9919,                0.98373,                0.99303,                0.96031,                0.99286,                0.98408,                0.99317,                0.84456,                    nan,                0.38937,                    nan,                    nan,              0.0091981,              0.0091981,              0.0091981
                     84,                0.35268,                0.41488,                0.34028,                0.83996,                0.99036,                0.98261,                 0.9929,                0.95995,                0.98881,                0.98108,                 0.9926,                0.83799,                    nan,                0.39792,                    nan,                    nan,              0.0091882,              0.0091882,              0.0091882
                     85,                0.35149,                0.40996,                0.33619,                0.84029,                0.99318,                0.98246,                 0.9933,                0.96377,                0.98794,                0.98632,                0.99322,                0.85167,                    nan,                0.39163,                    nan,                    nan,              0.0091783,              0.0091783,              0.0091783
                     86,                0.35705,                0.41273,                0.33467,                0.84155,                 0.9933,                0.98332,                0.99341,                0.96333,                0.99254,                0.98256,                0.99341,                0.84776,                    nan,                0.38398,                    nan,                    nan,              0.0091684,              0.0091684,              0.0091684
                     87,                0.35066,                  0.407,                0.33456,                0.84218,                0.99366,                0.98414,                0.99273,                0.96328,                0.99213,                0.98263,                0.99272,                0.84785,                    nan,                0.38407,                    nan,                    nan,              0.0091585,              0.0091585,              0.0091585
