                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.30645,                0.28264,                0.26766,                0.84694,                 0.8266,                0.48334,                0.58714,                 0.5663,                0.82562,                0.48477,                0.59001,                0.53001,                    nan,                0.74021,                    nan,                    nan,              0.0056935,              0.0056935,              0.0056935
                     90,                0.30124,                0.27966,                0.26135,                0.84759,                0.83136,                0.48889,                0.57788,                  0.557,                0.83291,                0.48864,                0.58109,                0.52024,                    nan,                0.65307,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     91,                0.30085,                 0.2696,                0.25812,                0.85042,                0.77032,                0.49957,                0.59382,                0.57528,                0.77225,                 0.5027,                0.59679,                0.53711,                    nan,                0.64374,                    nan,                    nan,              0.0055945,              0.0055945,              0.0055945
                     92,                0.30035,                0.27047,                0.26101,                0.84768,                0.83878,                0.50099,                0.61423,                0.58973,                0.85747,                0.50361,                0.62154,                0.55005,                    nan,                0.63554,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     93,                0.29853,                0.26795,                0.25909,                0.84849,                0.83756,                0.48462,                0.60269,                0.58199,                0.89792,                0.48181,                0.60568,                0.54265,                    nan,                0.65749,                    nan,                    nan,              0.0054955,              0.0054955,              0.0054955
                     94,                0.29911,                0.27477,                0.25458,                0.84578,                0.79414,                0.49259,                0.59474,                0.57699,                 0.7919,                0.49326,                0.59648,                0.54189,                    nan,                0.63471,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     95,                0.29305,                0.26308,                0.25161,                0.84559,                0.81986,                0.49833,                0.61485,                0.59631,                0.83426,                0.49952,                0.62144,                0.55831,                    nan,                0.65872,                    nan,                    nan,              0.0053965,              0.0053965,              0.0053965
                     96,                0.29453,                0.27018,                0.25288,                0.84674,                0.78901,                0.45582,                0.57551,                0.55863,                 0.8015,                0.45787,                0.58147,                0.52091,                    nan,                0.64007,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                     97,                0.30084,                0.27607,                0.25528,                  0.849,                0.81347,                0.51651,                0.61535,                0.59465,                0.82453,                0.51851,                0.62167,                0.55308,                    nan,                0.67723,                    nan,                    nan,              0.0052975,              0.0052975,              0.0052975
                     98,                0.29354,                0.26886,                0.25091,                0.84663,                0.88161,                0.51797,                0.61608,                0.59449,                0.85676,                0.51986,                 0.6189,                0.55487,                    nan,                0.67508,                    nan,                    nan,               0.005248,               0.005248,               0.005248
